modeloDeRelevancia;tipoDeMemoria;tipoDeRaciocinio;comparacoes;memoria;movimentacoes;utilidade;eficienciaCpu;eficienciaMemoria
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;34879,035;10,03875;803,72125;5,5689077;0,55474114;0,012976223
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;5729,1997;1,3445;569,542;0,29870078;0,22216496;0,002614536
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;4605,683;1,41975;759,43427;0,16486813;0,116124764;0,001351375
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;245381,42;232,4195;0;27,432543;0,1180303;0,011179552
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;75724,25;20,64925;16951,746;2,7440624;0,13288921;0,001118922
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;3713,9373;1,38825;567,92;0,33775964;0,24329886;0,003595813
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;245381,42;232,4195;0;27,432543;0,1180303;0,011179552
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3503,3718;1,334;569,94727;0,34790277;0,2607967;0,003780383
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;3303,3508;1,3205;565,4495;0,31318888;0,23717447;0,003496252
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;7900,458;1,32875;576,5025;0,29870078;0,22479832;0,002185805
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;12250,675;2,271;616,8082;0,34522894;0,15201627;0,001874334
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;166420,89;56,7655;78516,06;12,35927;0,21772504;0,001298814
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;5997,5786;1,44575;567,344;0,5048535;0,34919834;0,004325702
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;8284,892;1,36925;588,6473;0,29870078;0,21814919;0,002107777
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;5957,0845;1,3765;572,4795;0,33775964;0,2453757;0,002891313
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;5894,338;1,37125;577,259;0,34790277;0,25371215;0,002981957
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;79227,734;21,74025;16874,812;2,350105;0,10809927;9,48E-04
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;8535,78;1,34725;626,617;0,313264;0,23252107;0,00211637
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;188698,9;61,27;274,57025;25,466536;0,41564444;0,0133023
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;8645,893;1,464;567,463;0,34790277;0,2376385;0,0024294
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;7731,639;1,3345;564,827;0,313264;0,23474261;0,002341301
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;17232,734;3,0885;620,6937;0,34790277;0,112644576;0,001484248
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;4024,8616;1,511;587,202;0,4801501;0,31776974;0,004851529
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;9410,498;1,41125;697,976;0,26406386;0,18711346;0,001611103
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;16864,086;2,346;966,098;1,0931851;0,4659783;0,004121328
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;125269,58;47,664;63606;10,978682;0,23033486;0,001442041
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;10291,666;1,44075;734,64874;0,4801501;0,333264;0,002722225
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;101741,336;60,56475;276,398;25,536407;0,42163813;0,02443551
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;68856,305;34,05075;440,85275;15,990264;0,46960092;0,021825293
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;5983,414;1,40475;568,8045;0,28855765;0,20541567;0,002472336
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;166569,61;21,809;17192,121;2,39154;0,1096584;7,07E-04
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;146559,66;32,04125;445,26074;15,798291;0,49306104;0,010461595
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3778,0776;1,3895;605,0427;0,34790277;0,25037983;0,003539732
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3551,7744;1,3515;570,0842;0,2273174;0,16819637;0,00245679
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;319749,75;59,20175;81224,43;11,872815;0,20054838;0,001048841
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;4193,355;1,42375;662,901;0,48005533;0,33717668;0,004435771
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;7794,61;1,331;569,3875;0,34790277;0,26138452;0,002579258
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;6107,011;1,3425;615,36523;0,38930959;0,28998852;0,003175273
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;189161,64;60,5555;275,96024;25,538206;0,42173222;0,013306607
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;245381,42;232,4195;0;27,432543;0,1180303;0,011179552
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;245381,42;232,4195;0;27,432543;0,1180303;0,011179552
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;220942,72;54,15475;52586,465;12,885349;0,2379357;0,001725391
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;6633,5347;1,46975;585,10724;0,28855765;0,1963311;0,002311307
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;8709,302;1,34925;624,08527;0,29870078;0,22138283;0,001997978
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;68785,22;33,196;465,7655;16,834696;0,50713027;0,022922164
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;3662,9265;1,3495;583,7252;0,33775964;0,25028503;0,003555298
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;4241,578;1,41825;680,476;0,41890547;0,29536787;0,003792256
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;149368,5;32,84025;448,84976;15,155506;0,46149182;0,009850385
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;119968,24;19,98675;2286,8936;15,810065;0,7910273;0,011068593
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;6249,047;1,36275;620,254;0,34790277;0,25529462;0,002794043
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;49417,36;8,53175;597,083;1,7802725;0,2086644;0,003214174
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3943,7822;1,3835;668,749;0,34782764;0,25141138;0,00327174
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;27345,7;5,2285;1333,6212;2,024599;0,3872237;0,004976657
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;4242,897;1,41175;648,359;0,34782764;0,2463805;0,003242699
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;245381,42;232,4195;0;27,432543;0,1180303;0,011179552
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;7845,2;1,327;579,9435;0,28855765;0,21745113;0,002114807
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;3877,578;1,5075;565,72876;0,38929635;0,2582397;0,004082872
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;5942,9;1,3795;576,4827;0,16486813;0,11951296;0,001408199
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;141459,44;48,885;64640,965;10,8002825;0,22093245;0,001370822
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;330646,7;59,81025;81657,04;11,732752;0,19616625;0,001022714
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;3914,914;1,403;600,36975;0,28855765;0,20567188;0,002909255
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;9719,821;1,37075;711,8925;0,29870078;0,21791048;0,00177389
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;7659,538;2,07575;796,47;0,33775964;0,16271691;0,002161767
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;98107,04;6,69125;4586,273;0,37254944;0,05567711;2,59E-04
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;5847,532;1,36725;569,41675;0,29870078;0,21846831;0,002588014
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;4030,002;1,51925;569,9795;0,34790277;0,2289964;0,003575643
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;5731,864;1,33475;569,00073;0,16697232;0,12509632;0,001461865
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;245381,42;232,4195;0;27,432543;0,1180303;0,011179552
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3625,2322;1,3935;568,9675;0,29870078;0,21435292;0,003206696
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;188805,94;55,577;307,42676;26,29829;0,47318658;0,013705578
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;103496,97;32,03975;445,818;15,797635;0,49306363;0,014633518
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;138818,1;55,55925;307,9395;26,298542;0,47334227;0,018533481
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;6010,253;1,362;574,39026;0,29870078;0,21931042;0,002541236
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;245381,42;232,4195;0;27,432543;0,1180303;0,011179552
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;117787,04;21,94325;16853,596;3,2396746;0,14763877;0,001131476
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;240676,61;57,7795;57200,26;12,920932;0,22362486;0,001589918
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;6978,0186;1,5575;630,3225;0,3625943;0,23280533;0,002730123
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;139613,92;60,577;276,0285;25,536247;0,4215502;0,017936008
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;80702,086;24,06;2210,31;15,199888;0,63174933;0,014785137
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;10021,216;1,56525;618,0575;0,59223455;0,37836418;0,003655365
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;9779,413;1,45125;674,5665;0,16486813;0,113604225;9,98E-04
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3408,2993;1,30425;570,391;0,33775964;0,25896847;0,003706671
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;189053,3;55,582;309,41425;26,298084;0,4731403;0,013686408
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3631,0254;1,40125;570,763;0,28855765;0,20592874;0,003089927
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;8255,334;1,3795;587,06824;0,29870078;0,21652828;0,002114544
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;8141,604;1,338;596,2465;0,16486813;0,123219825;0,00116894
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;30081,986;5,88025;1306,1765;3,0325189;0,51571256;0,007028872
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;104439,06;7,26725;4917,7183;0,29870078;0,041102313;1,94E-04
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;6792,733;1,42125;661,475;0,35465267;0,24953574;0,002645185
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;189962,81;61,25475;275,52975;25,46633;0,41574457;0,01321429
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;71846,586;33,666;443,2185;16,001928;0,4753142;0,02097822
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;245381,42;232,4195;0;27,432543;0,1180303;0,011179552
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;245381,42;232,4195;0;27,432543;0,1180303;0,011179552
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;9434,98;1,4095;666,5402;0,28855765;0,20472342;0,001792241
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;245381,42;232,4195;0;27,432543;0,1180303;0,011179552
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;228172,19;82,28925;65833,1;11,749568;0,14278375;0,001325384
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;6325,1885;1,386;608,138;0,313264;0,2260202;0,002524985
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;234556,7;59,919;77369,87;12,165701;0,20303579;0,001206609
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;6585,632;1,53025;567,25977;0,29870078;0,19519737;0,002436737
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;104837,07;7,158;4873,9404;0,3910509;0,054631308;2,55E-04
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;177875,1;56,613;50909,805;11,075728;0,19563931;0,001612251
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;245381,42;232,4195;0;27,432543;0,1180303;0,011179552
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;5530,476;1,30325;571,9437;0,16697232;0,12811996;0,00148421
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;315909,22;58,70675;76508,33;12,57765;0,21424538;0,001163528
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;7970,438;1,383;571,8143;0,22739255;0,16441977;0,001661184
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;6493,088;1,3585;627,8527;0,26406386;0,194379;0,002067584
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;9622,272;1,4205;707,92426;0,33775964;0,23777518;0,002022329
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;8999,058;1,526;574,3082;0,34782764;0,22793423;0,002359411
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;9233,674;1,41825;678,4405;0,33775964;0,23815241;0,002108615
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;9207,526;1,50475;569,697;0,28855765;0,1917645;0,001936044
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;7511,261;1,32525;564,9257;0,34790277;0,26251858;0,002643534
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;49532,934;9,47275;589,0928;2,013002;0,21250449;0,003632013
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;9126,125;1,5195;582,02875;0,29870078;0,19657834;0,001998478
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;9138,45;1,37325;685,3485;0,313264;0,2281187;0,001958887
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;7371,743;1,28725;569,0285;0,4007171;0,31129703;0,003067802
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;4833,5317;1,51775;719,418;0,31318888;0,20635077;0,002603894
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;228564,98;59,22075;77354,83;12,41798;0,20968969;0,001239179
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;75057,266;20,686;17093,293;3,5619361;0,17219067;0,001447999
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;4131,0093;1,40425;674,0513;0,29870078;0,21271196;0,002747553
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;67635,42;33,736;441,91675;15,884702;0,47085315;0,022045372
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;245381,42;232,4195;0;27,432543;0,1180303;0,011179552
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;6704,716;1,50675;575,0305;0,29870078;0,19824177;0,002398236
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;330216,9;59,731;81519,15;11,541546;0,1932254;0,001007636
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;6036,717;1,356;605,3555;0,31318888;0,23096526;0,002590421
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;6829,895;1,3725;715,76074;0,38930959;0,28364998;0,002783267
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3454,621;1,324;566,5085;0,5293521;0,3998128;0,005804487
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;130491,62;49,0555;66179,984;10,414461;0,21229956;0,001314474
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;33894,902;8,56625;591,82324;2,2228105;0,25948468;0,005583109
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;138307,56;55,59225;307,4135;26,298817;0,47306624;0,018601287
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;239155,64;60,19825;78655,16;12,158117;0,20196795;0,00118534
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;9060,867;1,37375;686,829;0,33775964;0,2458669;0,002120386
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3839,2996;1,413;587,15375;0,29870078;0,21139476;0,003075953
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;54800,7;14,1725;570,1065;3,46116;0,24421662;0,005720759
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;6689,802;1,371;670,551;0,13503377;0,0984929;0,001008067
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;167484,94;56,199;50412,84;10,348814;0,18414587;0,001540889
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;514106,88;83,45975;72431,32;9,071455;0,10869258;7,33E-04
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;25017,488;5,48225;709,32825;2,6066787;0,47547606;0,008117771
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;102358,52;60,5485;276,707;25,536787;0,42175755;0,024291694
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;7482,742;1,434;720,2245;0,3350706;0,23366152;0,002281722
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;8557,174;1,42225;585,01025;0,26406386;0,18566628;0,001832851
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;5770,426;1,30275;575,4647;0,28855765;0,22149886;0,002503738
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;245381,42;232,4195;0;27,432543;0,1180303;0,011179552
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;8555,739;1,47425;565,0433;0,34790277;0,23598629;0,002448955
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;6239,1113;1,383;574,306;0,28855765;0,20864616;0,002408225
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;3684,3704;1,372;579,049;0,28855765;0,21031898;0,003045508
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;3269,6228;1,30075;567,56024;0,34782764;0,26740545;0,003888417
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;9818,374;1,46575;670,627;0,33775964;0,23043469;0,002043975
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;245381,42;232,4195;0;27,432543;0,1180303;0,011179552
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;112874,55;40,90075;406,095;21,086254;0,5155469;0,018032381
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;150318,55;18,765;21135,686;3,1699362;0,16892813;8,76E-04
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;245381,42;232,4195;0;27,432543;0,1180303;0,011179552
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;8130,584;1,338;577,6745;0,2273174;0,16989341;0,001634515
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3699,8767;1,41125;565,2135;0,34790277;0,24652101;0,003720085
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;240925,5;81,90975;71361,02;9,676295;0,11813362;0,001013717
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;7874,328;1,33125;575,027;0,2765933;0,20776962;0,002030103
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;49371,21;9,5695;597,982;1,8267496;0,19089289;0,003300299
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;240558,05;79,81075;69454,55;9,921941;0,12431835;0,001061053
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;144055,92;32,0525;441,9885;16,462116;0,5135985;0,011087406
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;9344,256;1,5245;584,0955;0,33775964;0,22155437;0,002224267
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;245381,42;232,4195;0;27,432543;0,1180303;0,011179552
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;11721,803;1,45675;826,679;0,29862565;0,20499444;0,00149398
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;162421,48;57,896;76451,07;12,904535;0,22289166;0,001392177
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;8131,231;1,38075;574,68823;0,5293521;0,38338014;0,003814295
